YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE,Diff,Upset,Matchup
2021,6,1,Baylor,86,1,Gonzaga,70,0,0,1-1
2021,5,1,Gonzaga,93,11,UCLA,90,10,0,11-1
2021,5,1,Baylor,78,2,Houston,59,1,0,2-1
2021,4,2,Houston,67,12,Oregon State,61,10,0,12-2
2021,4,1,Baylor,81,3,Arkansas,72,2,0,3-1
2021,4,11,UCLA,51,1,Michigan,49,-10,1,11-1
2021,4,1,Gonzaga,85,6,Southern California,66,5,0,6-1
2021,3,2,Houston,62,11,Syracuse,46,9,0,11-2
2021,3,12,Oregon State,65,8,Loyola (Ill.),58,-4,1,12-8
2021,3,3,Arkansas,72,15,Oral Roberts,70,12,0,15-3
2021,3,1,Baylor,62,5,Villanova,51,4,0,5-1
2021,3,11,UCLA,88,2,Alabama,78,-9,1,11-2
2021,3,1,Michigan,76,4,Florida State,58,3,0,4-1
2021,3,6,Southern California,82,7,Oregon,68,1,0,7-6
2021,3,1,Gonzaga,83,5,Creighton,65,4,0,5-1
2021,2,2,Houston,63,10,Rutgers,60,8,0,10-2
2021,2,11,Syracuse,75,3,West Virginia,72,-8,1,11-3
2021,2,12,Oregon State,80,4,Oklahoma State,70,-8,1,12-4
2021,2,8,Loyola (Ill.),71,1,Illinois,58,-7,1,8-1
2021,2,15,Oral Roberts,81,7,Florida,78,-8,1,15-7
2021,2,3,Arkansas,68,6,Texas Tech,66,3,0,6-3
2021,2,5,Villanova,84,13,North Texas,61,8,0,13-5
2021,2,1,Baylor,76,9,Wisconsin,63,8,0,9-1
2021,2,2,Alabama,96,10,Maryland,77,8,0,10-2
2021,2,11,UCLA,67,14,Abilene Christian,47,3,0,14-11
2021,2,4,Florida State,71,5,Colorado,53,1,0,5-4
2021,2,1,Michigan,86,8,LSU,78,7,0,8-1
2021,2,7,Oregon,95,2,Iowa,80,-5,1,7-2
2021,2,6,Southern California,85,3,Kansas,51,-3,1,6-3
2021,2,5,Creighton,72,13,Ohio,58,8,0,13-5
2021,2,1,Gonzaga,87,8,Oklahoma,71,7,0,8-1
2021,1,2,Houston,87,15,Cleveland State,56,13,0,15-2
2021,1,10,Rutgers,60,7,Clemson,56,-3,1,10-7
2021,1,3,West Virginia,84,14,Morehead State,67,11,0,14-3
2021,1,11,Syracuse,78,6,San Diego State,62,-5,1,11-6
2021,1,4,Oklahoma State,69,13,Liberty,60,9,0,13-4
2021,1,12,Oregon State,70,5,Tennessee,56,-7,1,12-5
2021,1,8,Loyola (Ill.),71,9,Georgia State,60,1,0,9-8
2021,1,1,Illinois,78,16,Drexel,49,15,0,16-1
2021,1,15,Oral Roberts,75,2,Ohio State,72,-13,1,15-2
2021,1,7,Florida,75,10,Virginia Tech,70,3,0,10-7
2021,1,3,Arkansas,85,14,Colgate,68,11,0,14-3
2021,1,6,Texas Tech,65,11,Utah State,53,5,0,11-6
2021,1,13,North Texas,78,4,Purdue,69,-9,1,13-4
2021,1,5,Villanova,73,12,Winthrop,63,7,0,12-5
2021,1,9,Wisconsin,85,8,North Carolina,62,-1,1,9-8
2021,1,1,Baylor,79,16,Hartford,55,15,0,16-1
2021,1,2,Alabama,68,15,Iona,55,13,0,15-2
2021,1,10,Maryland,63,7,Connecticut,54,-3,1,10-7
2021,1,14,Abilene Christian,53,3,Texas,52,-11,1,14-3
2021,1,11,UCLA,73,6,Brigham Young,62,-5,1,11-6
2021,1,4,Florida State,64,13,UNC Greensboro,54,9,0,13-4
2021,1,5,Colorado,96,12,Georgetown,73,7,0,12-5
2021,1,8,LSU,76,9,St. Bonaventure,61,1,0,9-8
2021,1,1,Michigan,82,16,Texas Southern,66,15,0,16-1
2021,1,2,Iowa,86,15,Grand Canyon,74,13,0,15-2
2021,1,3,Kansas,93,14,Eastern Washington,84,11,0,14-3
2021,1,6,Southern California,72,11,Drake,56,5,0,11-6
2021,1,13,Ohio,62,4,Virginia,58,-9,1,13-4
2021,1,5,Creighton,63,12,UC Santa Barbara,62,7,0,12-5
2021,1,8,Oklahoma,72,9,Missouri,68,1,0,9-8
2021,1,1,Gonzaga,98,16,Norfolk State,55,15,0,16-1
2021,0,16,Norfolk State,54,16,Appalachian State,53,0,0,16-16
2021,0,11,Drake,53,11,Wichita State,52,0,0,11-11
2021,0,16,Texas Southern,60,16,Mount St. Mary's,52,0,0,16-16
2021,0,11,UCLA,86,11,Michigan State,80,0,0,11-11
2019,6,1,Virginia,85,3,Texas Tech,77,2,0,3-1
2019,5,3,Texas Tech,61,2,Michigan State,51,-1,1,3-2
2019,5,1,Virginia,63,4,Auburn,62,3,0,4-1
2019,4,1,Virginia,80,3,Purdue,75,2,0,3-1
2019,4,3,Texas Tech,75,1,Gonzaga,69,-2,1,3-1
2019,4,2,Michigan State,68,1,Duke,67,-1,1,2-1
2019,4,5,Auburn,77,2,Kentucky,71,-3,1,5-2
2019,3,5,Auburn,97,1,North Carolina,80,-4,1,5-1
2019,3,1,Virginia,53,12,Oregon,49,11,0,12-1
2019,3,1,Gonzaga,72,4,Florida State,58,3,0,4-1
2019,3,1,Duke,75,4,Virginia Tech,73,3,0,4-1
2019,3,3,Purdue,99,2,Tennessee,94,-1,1,3-2
2019,3,2,Kentucky,62,3,Houston,58,1,0,3-2
2019,3,2,Michigan State,80,3,LSU,63,1,0,3-2
2019,3,3,Texas Tech,63,2,Michigan,44,-1,1,3-2
2019,2,2,Michigan,64,10,Florida,49,8,0,10-2
2019,2,1,North Carolina,81,9,Washington,59,8,0,9-1
2019,2,1,Virginia,63,9,Oklahoma,51,8,0,9-1
2019,2,1,Gonzaga,83,9,Baylor,71,8,0,9-1
2019,2,1,Duke,77,9,Central Florida,76,8,0,9-1
2019,2,4,Virginia Tech,67,12,Liberty,58,8,0,12-4
2019,2,5,Auburn,89,4,Kansas,75,-1,1,5-4
2019,2,3,Purdue,87,6,Villanova,61,3,0,6-3
2019,2,2,Kentucky,62,7,Wofford,56,5,0,7-2
2019,2,2,Tennessee,83,10,Iowa,77,8,0,10-2
2019,2,3,Houston,74,11,Ohio State,59,8,0,11-3
2019,2,2,Michigan State,70,10,Minnesota,50,8,0,10-2
2019,2,13,UC Irvine,73,12,Oregon,54,-1,1,13-12
2019,2,3,LSU,69,6,Maryland,67,3,0,6-3
2019,2,3,Texas Tech,78,6,Buffalo,58,3,0,6-3
2019,2,4,Florida State,90,12,Murray St.,62,8,0,12-4
2019,1,12,Liberty,80,5,Mississippi State,76,-7,1,12-5
2019,1,2,Michigan,74,15,Montana,55,13,0,15-2
2019,1,2,Kentucky,79,15,Abilene Christian,44,13,0,15-2
2019,1,1,North Carolina,88,16,Iona,73,15,0,16-1
2019,1,2,Michigan State,76,15,Bradley,65,13,0,15-2
2019,1,11,Ohio State,62,6,Iowa State,59,-5,1,11-6
2019,1,1,Virginia,71,16,Gardner-Webb,56,15,0,16-1
2019,1,4,Florida State,76,13,Vermont,69,9,0,13-4
2019,1,1,Gonzaga,87,16,Fairleigh Dickinson,49,15,0,16-1
2019,1,1,Duke,85,16,North Dakota State,62,15,0,16-1
2019,1,4,Kansas,87,13,Northeastern,53,9,0,13-4
2019,1,6,Villanova,61,11,St. Mary's (Cal.),57,5,0,11-6
2019,1,4,Virginia Tech,66,13,St. Louis,52,9,0,13-4
2019,1,6,Maryland,79,11,Belmont,77,5,0,11-6
2019,1,13,UC Irvine,70,4,Kansas State,64,-9,1,13-4
2019,1,9,Baylor,78,8,Syracuse,69,-1,1,9-8
2019,1,2,Tennessee,77,15,Colgate,70,13,0,15-2
2019,1,10,Iowa,79,7,Cincinnati,72,-3,1,10-7
2019,1,5,Auburn,78,12,New Mexico State,77,7,0,12-5
2019,1,3,Purdue,61,14,Old Dominion,48,11,0,14-3
2019,1,10,Minnesota,86,7,Louisville,76,-3,1,10-7
2019,1,7,Wofford,84,10,Seton Hall,68,3,0,10-7
2019,1,9,Oklahoma,95,8,Mississippi,72,-1,1,9-8
2019,1,3,Houston,84,14,Georgia State,55,11,0,14-3
2019,1,6,Buffalo,91,11,Arizona State,74,5,0,11-6
2019,1,3,LSU,79,14,Yale,74,11,0,14-3
2019,1,12,Oregon,72,5,Wisconsin,54,-7,1,12-5
2019,1,3,Texas Tech,72,14,Northern Kentucky,57,11,0,14-3
2019,1,10,Florida,70,7,Nevada,61,-3,1,10-7
2019,1,12,Murray St.,83,5,Marquette,64,-7,1,12-5
2019,1,9,Washington,78,8,Utah State,61,-1,1,9-8
2019,1,9,Central Florida,73,8,Virginia Commonwealth,58,-1,1,9-8
2019,0,11,Belmont,81,11,Temple,70,0,0,11-11
2019,0,16,North Dakota State,78,16,North Carolina Central,74,0,0,16-16
2019,0,11,Arizona State,74,11,St. John's,65,0,0,11-11
2019,0,16,Fairleigh Dickinson,82,16,Prairie View,76,0,0,16-16
2018,6,1,Villanova,79,3,Michigan,62,2,0,3-1
2018,5,1,Villanova,95,1,Kansas,79,0,0,1-1
2018,5,3,Michigan,69,11,Loyola (Ill.),57,8,0,11-3
2018,4,3,Michigan,58,9,Florida State,54,6,0,9-3
2018,4,1,Kansas,85,2,Duke,81,1,0,2-1
2018,4,1,Villanova,71,3,Texas Tech,59,2,0,3-1
2018,4,11,Loyola (Ill.),78,9,Kansas State,62,-2,1,11-9
2018,3,3,Michigan,99,7,Texas A&M,72,4,0,7-3
2018,3,9,Florida State,75,4,Gonzaga,60,-5,1,9-4
2018,3,1,Kansas,80,5,Clemson,76,4,0,5-1
2018,3,1,Villanova,90,5,West Virginia,78,4,0,5-1
2018,3,9,Kansas State,61,5,Kentucky,58,-4,1,9-5
2018,3,2,Duke,69,11,Syracuse,65,9,0,11-2
2018,3,3,Texas Tech,78,2,Purdue,65,-1,1,3-2
2018,3,11,Loyola (Ill.),69,7,Nevada,68,-4,1,11-7
2018,2,5,Kentucky,95,13,Buffalo,75,8,0,13-5
2018,2,9,Florida State,75,1,Xavier,70,-8,1,9-1
2018,2,1,Kansas,83,8,Seton Hall,79,7,0,8-1
2018,2,1,Villanova,81,9,Alabama,58,8,0,9-1
2018,2,11,Syracuse,55,3,Michigan State,53,-8,1,11-3
2018,2,5,Clemson,84,4,Auburn,53,-1,1,5-4
2018,2,7,Texas A&M,86,2,North Carolina,65,-5,1,7-2
2018,2,3,Michigan,64,6,Houston,63,3,0,6-3
2018,2,7,Nevada,75,2,Cincinnati,73,-5,1,7-2
2018,2,3,Texas Tech,69,6,Florida,66,3,0,6-3
2018,2,4,Gonzaga,90,5,Ohio State,84,1,0,5-4
2018,2,2,Duke,87,7,Rhode Island,62,5,0,7-2
2018,2,9,Kansas State,50,16,Maryland-Baltimore County,43,7,0,16-9
2018,2,11,Loyola (Ill.),63,3,Tennessee,62,-8,1,11-3
2018,2,5,West Virginia,94,13,Marshall,71,8,0,13-5
2018,2,2,Purdue,76,10,Butler,73,8,0,10-2
2018,1,10,Butler,79,7,Arkansas,62,-3,1,10-7
2018,1,5,West Virginia,85,12,Murray St.,68,7,0,12-5
2018,1,3,Michigan,61,14,Montana,47,11,0,14-3
2018,1,5,Kentucky,78,12,Davidson,73,7,0,12-5
2018,1,2,North Carolina,84,15,Lipscomb,66,13,0,15-2
2018,1,3,Michigan State,82,14,Bucknell,78,11,0,14-3
2018,1,16,Maryland-Baltimore County,74,1,Virginia,54,-15,1,16-1
2018,1,13,Marshall,81,4,Wichita State,75,-9,1,13-4
2018,1,4,Gonzaga,68,13,UNC Greensboro,64,9,0,13-4
2018,1,2,Duke,89,15,Iona,67,13,0,15-2
2018,1,1,Kansas,76,16,Penn,60,15,0,16-1
2018,1,9,Kansas State,69,8,Creighton,59,-1,1,9-8
2018,1,6,TCU,57,11,Syracuse,52,5,0,11-6
2018,1,11,Loyola (Ill.),64,6,Miami (Fla.),62,-5,1,11-6
2018,1,13,Buffalo,89,4,Arizona,68,-9,1,13-4
2018,1,1,Villanova,87,16,Radford,61,15,0,16-1
2018,1,9,Alabama,86,8,Virginia Tech,83,-1,1,9-8
2018,1,5,Clemson,79,12,New Mexico State,68,7,0,12-5
2018,1,3,Tennessee,73,14,Wright State,47,11,0,14-3
2018,1,2,Cincinnati,68,15,Georgia State,53,13,0,15-2
2018,1,4,Auburn,62,13,College of Charleston,58,9,0,13-4
2018,1,2,Purdue,74,15,Cal State Fullerton,48,13,0,15-2
2018,1,7,Texas A&M,73,10,Providence,69,3,0,10-7
2018,1,1,Xavier,102,16,Texas Southern,83,15,0,16-1
2018,1,6,Houston,67,11,San Diego State,65,5,0,11-6
2018,1,7,Nevada,87,10,Texas,83,3,0,10-7
2018,1,9,Florida State,67,8,Missouri,54,-1,1,9-8
2018,1,6,Florida,77,11,St. Bonaventure,62,5,0,11-6
2018,1,5,Ohio State,81,12,South Dakota State,73,7,0,12-5
2018,1,3,Texas Tech,70,14,Stephen F. Austin,60,11,0,14-3
2018,1,8,Seton Hall,94,9,North Carolina State,83,1,0,9-8
2018,1,7,Rhode Island,83,10,Oklahoma,78,3,0,10-7
2018,0,11,St. Bonaventure,65,11,UCLA,58,0,0,11-11
2018,0,16,Radford,71,16,Long Island,61,0,0,16-16
2018,0,16,Texas Southern,64,16,North Carolina Central,46,0,0,16-16
